Tick,Dist_SameFeature_WithNoise,Dist_DifferentFeature
675,73.613,83.63
676,73.8,83.29
677,74.542,83.335
678,73.439,83.185
679,74.081,82.996
680,73.27,84.064
681,73.952,83.113
682,73.722,83.826
683,74.011,83.75
684,73.171,84.088
685,73.857,83.68
686,73.649,85.139
687,74.633,84.202
688,74.448,84.591
689,75.416,83.672
690,75.31,84.617
691,76.555,85.116
692,76.586,84.337
693,76.394,83.661
694,76.159,84.077
695,75.577,83.755
696,74.561,82.527
697,74.272,83.364
698,73.923,83.189
699,74.309,84.269
700,73.711,83.459
701,74.109,83.541
702,73.751,83.027
703,73.548,83.206
704,74.162,83.798
705,73.874,84.022
706,74.461,84.118
707,74.277,83.921
708,73.949,84.36
709,75.244,85.068
710,74.529,85.157
711,75.447,85.702
712,74.451,84.882
713,74.604,84.251
714,74.196,84.699
715,74.12,84.701
716,73.939,84.888
717,74.448,84.678
718,74.619,84.348
719,73.884,85.809
720,74.231,85.17
721,73.873,85.985
722,73.662,85.509
723,73.212,85.764
724,73.205,84.779
725,73.18,85.435
726,73.478,85.508
727,72.451,86.076
728,73.47,85.912
729,72.594,85.321
730,74.117,85.819
731,73.519,85.277
732,73.791,84.669
733,73.578,85.493
734,73.789,84.82
735,74.634,84.631
736,74.335,84.541
737,75.02,83.512
738,74.758,83.821
739,74.973,83.685
740,74.735,83.503
741,74.475,84.272
742,74.725,84.678
743,74.39,84.059
744,75.037,84.759
745,75.243,83.657
746,73.775,83.928
747,74.232,83.545
748,74.323,83.886
749,73.922,83.57
750,74.535,85.014
751,73.501,84.751
752,73.345,83.821
753,73.854,84.775
754,73.872,84.654
755,73.201,84.674
756,73.68,84.24
757,74.051,84.037
758,73.991,84.382
759,73.862,84.038
760,74.628,84.642
761,74.907,84.296
762,75.192,84.807
763,75.182,85.07
764,74.755,84.179
765,74.54,84.901
766,75.043,85.199
767,74.423,85.468
768,74.965,85.425
769,74.364,84.7
770,74.394,84.949
771,74.357,85.098
772,73.547,85.227
773,74.34,85.121
774,73.94,85.528
775,73.684,85.86
776,73.858,85.644
777,74.071,86.075
778,73.388,86.878
779,74.521,86.979
780,74.389,87.326
781,73.497,86.463
782,73.99,87.258
783,73.439,87.012
784,73.729,86.861
785,73.096,85.678
786,72.442,85.509
787,72.557,85.04
788,72.372,84.269
789,72.641,84.862
790,72.019,85.187
791,72.413,84.59
792,72.878,84.755
793,73.083,84.664
794,72.892,84.156
795,72.987,83.623
796,74.023,85.078
797,73.671,83.689
798,74.559,84.509
799,73.631,83.963
800,73.756,84.424
801,73.97,83.692
802,74.421,84.896
803,73.486,83.72
804,74.085,84.743
805,73.665,84.218
806,74.401,84.964
807,74.293,85.339
808,74.118,85.014
809,74.056,85.074
810,74.164,85.405
811,74.362,85.348
812,74.203,86.517
813,74.751,86.529
814,74.287,86.785
815,74.946,87.158
816,73.793,85.495
817,73.734,85.814
818,73.958,85.858
819,74.003,85.86
820,73.185,85.421
821,73.978,85.938
822,73.335,84.759
823,73.533,85.932
824,74.386,85.399
825,74.08,84.59
826,74.039,85.19
827,74.64,85.113
828,74.457,84.521
829,74.107,85.35
830,74.149,84.926
831,74.056,85.88
832,73.75,85.242
833,73.655,85.154
834,73.339,85.191
835,73.898,85.018
836,73.773,85.317
837,74.479,85.633
838,74.122,84.536
839,75.042,85.26
840,74.382,84.271
841,75.465,85.239
842,74.53,84.806
843,75.253,84.846
844,74.375,83.463
845,75.666,85.045
846,74.448,84.518
847,74.656,84.898
848,73.588,84.025
849,74.702,83.924
850,73.567,84.352
851,74.455,83.784
852,74.716,84.377
853,74.579,84.127
854,74.755,84.504
855,75.478,84.336
856,74.954,84.71
857,75.361,83.866
858,74.379,83.869
859,75.195,83.663
860,74.609,84.156
861,74.228,83.937
862,74.143,83.654
863,74.989,84.608
864,73.974,83.684
865,73.817,83.741
866,74.097,83.795
867,74.508,83.991
868,74.429,84.654
869,74.657,84.517
870,73.826,84.753
871,74.069,84.947
872,73.832,84.841
873,73.502,84.378
874,73.211,84.257
875,73.678,85.088
876,72.699,84.698
877,73.404,85.784
878,73.386,85.713
879,73.572,85.865
880,73.242,85.139
881,74.072,85.591
882,73.556,85.325
883,74.971,85.62
884,74.646,84.902
885,74.922,84.788
886,75,84.341
887,75.152,84.218
888,74.26,83.331
889,75.148,85.088
890,74.588,85.322
891,75.377,84.988
892,74.699,84.761
893,74.762,85.173
894,73.964,85.562
895,74.959,85.539
896,74.115,86.32
897,74.869,86.079
898,74.386,87.016
899,75.274,86.709
900,74.789,86.502
901,75.446,86.187
902,74.719,86.138
903,75.252,86.2
904,76.056,86.946
905,76.272,85.889
906,75.341,86.289
907,75.801,86.809
908,74.553,86.969
909,74.776,86.225
910,74.163,86.351
911,74.185,86.578
912,73.985,86.197
913,74.182,86.866
914,74.865,86.088
915,74.967,86.922
916,74.915,86.911
917,74.724,86.189
918,74.368,85.87
919,74.603,85.282
920,74.63,85.549
921,73.69,85.248
922,74.058,85.2
923,73.672,85.002
924,73.544,84.32
925,73.089,84.372
926,73.09,84.366
927,71.969,84.698
928,72.498,83.969
929,72.137,84.181
930,72.647,84.302
